Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 16V,Z12XEP,1389,59,80,08/05 → 10/10
1.3 CDTI,Z13DTH,1248,66,90,04/05 → 10/10
1.4 16V,Z14XEL,1389,55,75,03/04 → 10/04
1.4 16V,Z14XEP,1389,66,90,03/04 → 10/10
1.6 16V,"Z16XER, A16XER",1598,85,115,02/07 → 05/14
1.6 16V,"Z16XEP, Z16XE1",1598,77,105,03/04 → 10/10
1.6 16V Turbo,Z16LET,1598,132,180,02/07 → 10/10
1.7 CDTI,Z17DTL,1686,59,80,03/04 → 10/10
1.7 CDTI,Z17DTJ,1686,81,110,02/07 → 05/14
1.7 CDTI,Z17DTH,1686,74,100,03/04 → 02/07
1.7 CDTI,"A17DTR, Z17DTR",1686,92,125,02/07 → 05/14
1.8 16V,Z18XE,1796,92,125,03/04 → 02/07
1.8 16V,Z18XER,1796,103,140,09/05 → 10/15
1.9 CDTI,Z19DTH,1910,110,150,09/04 → 10/10
1.9 CDTI,Z19DT/DTJ,1910,88,120,09/04 → 10/10
1.9 CDTI,Z19DTL,1910,74,100,09/05 → 12/12
2.0 16V Turbo,Z20LEL,1998,125,170,09/04 → 02/07
2.0 16V Turbo,Z20LER,1998,147,200,09/04 → 10/10
2.0 16V Turbo OPC,Z20LEH,1998,177,240,11/05 → 10/10
